Year,Month,Location,Type,Employment
2011,April,Vermont,Educational services,9445.0
2011,April,Vermont,Health care and social assistance,47209.0
2011,April,Vermont,Leisure and Hospitality supersector,29841.0
2011,April,Vermont,"Arts, entertainment, and recreation",3310.0
2011,April,Vermont,Accommodation and food services,26531.0
2011,April,Vermont,"Other services, except public administration supersector",8471.0
2011,April,Vermont,Unspecified industry supersector,
2011,April,Vermont,Federal Government,6432.0
2011,April,Vermont,State government,16175.0
2011,April,Vermont,Local government,31643.0
2012,April,Vermont,Total Covered -  all ownerships,293653.0
2012,April,Vermont,Private ownership,239116.0
2012,April,Vermont,Goods Producing domain,48342.0
2012,April,Vermont,Natural Resources and Mining supersector,3295.0
2012,April,Vermont,"Agriculture, forestry, fishing and hunting",2658.0
2012,April,Vermont,Mining,637.0
2012,April,Vermont,Construction supersector,13393.0
2012,April,Vermont,Manufacturing supersector,31654.0
2012,April,Vermont,Durable Goods manufacturing,21610.0
2012,April,Vermont,Non-Durable Goods manufacturing,10044.0
2012,April,Vermont,Service Providing domain,190774.0
2012,April,Vermont,"Trade, Transportation, and Utilities supersector",54218.0
2012,April,Vermont,Wholesale trade,9180.0
2012,April,Vermont,Retail trade,36693.0
2012,April,Vermont,Transportation and warehousing,6526.0
2012,April,Vermont,Utilities,1819.0
2012,April,Vermont,Information supersector,4623.0
2012,April,Vermont,Financial Activities supersector,11568.0
2012,April,Vermont,Finance and insurance,8736.0
2012,April,Vermont,Real estate and rental and leasing,2832.0
2012,April,Vermont,Professional and Business Services supersector,26070.0
2012,April,Vermont,Professional and technical services,13979.0
2012,April,Vermont,Management of companies and enterprises,1958.0
2012,April,Vermont,Administrative and waste services,10133.0
2012,April,Vermont,Education and Health Services supersector,57091.0
2012,April,Vermont,Educational services,9552.0
2012,April,Vermont,Health care and social assistance,47539.0
2012,April,Vermont,Leisure and Hospitality supersector,28602.0
2012,April,Vermont,"Arts, entertainment, and recreation",3447.0
2012,April,Vermont,Accommodation and food services,25155.0
2012,April,Vermont,"Other services, except public administration supersector",8602.0
2012,April,Vermont,Unspecified industry supersector,
2012,April,Vermont,Federal Government,6440.0
2012,April,Vermont,State government,16209.0
2012,April,Vermont,Local government,31888.0
2013,April,Vermont,Total Covered -  all ownerships,297504.0
2013,April,Vermont,Private ownership,243058.0
2013,April,Vermont,Goods Producing domain,47703.0
2013,April,Vermont,Natural Resources and Mining supersector,3285.0
2013,April,Vermont,"Agriculture, forestry, fishing and hunting",2663.0
2013,April,Vermont,Mining,622.0
2013,April,Vermont,Construction supersector,12734.0
2013,April,Vermont,Manufacturing supersector,31684.0
2013,April,Vermont,Durable Goods manufacturing,21425.0
2013,April,Vermont,Non-Durable Goods manufacturing,10259.0
2013,April,Vermont,Service Providing domain,195355.0
2013,April,Vermont,"Trade, Transportation, and Utilities supersector",54186.0
2013,April,Vermont,Wholesale trade,9042.0
2013,April,Vermont,Retail trade,36896.0
2013,April,Vermont,Transportation and warehousing,6440.0
2013,April,Vermont,Utilities,1808.0
2013,April,Vermont,Information supersector,4660.0
2013,April,Vermont,Financial Activities supersector,11559.0
2013,April,Vermont,Finance and insurance,8623.0
2013,April,Vermont,Real estate and rental and leasing,2936.0
2013,April,Vermont,Professional and Business Services supersector,26242.0
2013,April,Vermont,Professional and technical services,14038.0
2013,April,Vermont,Management of companies and enterprises,1923.0
2013,April,Vermont,Administrative and waste services,10281.0
2013,April,Vermont,Education and Health Services supersector,58198.0
2013,April,Vermont,Educational services,9737.0
2013,April,Vermont,Health care and social assistance,48461.0
2013,April,Vermont,Leisure and Hospitality supersector,31874.0
2013,April,Vermont,"Arts, entertainment, and recreation",3383.0
2013,April,Vermont,Accommodation and food services,28491.0
2013,April,Vermont,"Other services, except public administration supersector",8636.0
2013,April,Vermont,Unspecified industry supersector,
2013,April,Vermont,Federal Government,6550.0
2013,April,Vermont,State government,16333.0
2013,April,Vermont,Local government,31563.0
2014,April,Vermont,Total Covered -  all ownerships,298584.0
2014,April,Vermont,Private ownership,243904.0
2014,April,Vermont,Goods Producing domain,47332.0
2014,April,Vermont,Natural Resources and Mining supersector,3370.0
2014,April,Vermont,"Agriculture, forestry, fishing and hunting",2808.0
2014,April,Vermont,Mining,562.0
2014,April,Vermont,Construction supersector,13020.0
2014,April,Vermont,Manufacturing supersector,30942.0
2014,April,Vermont,Durable Goods manufacturing,20326.0
2014,April,Vermont,Non-Durable Goods manufacturing,10616.0
2014,April,Vermont,Service Providing domain,196572.0
2014,April,Vermont,"Trade, Transportation, and Utilities supersector",54394.0
2014,April,Vermont,Wholesale trade,9143.0
2014,April,Vermont,Retail trade,37036.0
2014,April,Vermont,Transportation and warehousing,6489.0
2014,April,Vermont,Utilities,1726.0
2014,April,Vermont,Information supersector,4785.0
2014,April,Vermont,Financial Activities supersector,11604.0
2014,April,Vermont,Finance and insurance,8656.0
2014,April,Vermont,Real estate and rental and leasing,2948.0
2014,April,Vermont,Professional and Business Services supersector,26037.0
2014,April,Vermont,Professional and technical services,13802.0
2014,April,Vermont,Management of companies and enterprises,2051.0
2014,April,Vermont,Administrative and waste services,10184.0
2014,April,Vermont,Education and Health Services supersector,58742.0
2014,April,Vermont,Educational services,9995.0
2014,April,Vermont,Health care and social assistance,48747.0
2014,April,Vermont,Leisure and Hospitality supersector,32317.0
2014,April,Vermont,"Arts, entertainment, and recreation",3625.0
2014,April,Vermont,Accommodation and food services,28692.0
2014,April,Vermont,"Other services, except public administration supersector",8693.0
2014,April,Vermont,Unspecified industry supersector,
2014,April,Vermont,Federal Government,6667.0
2014,April,Vermont,State government,16663.0
2014,April,Vermont,Local government,31350.0
2015,April,Vermont,Total Covered -  all ownerships,302497.0
2015,April,Vermont,Private ownership,247749.0
2015,April,Vermont,Goods Producing domain,48182.0
2015,April,Vermont,Natural Resources and Mining supersector,3636.0
2015,April,Vermont,"Agriculture, forestry, fishing and hunting",3005.0
2015,April,Vermont,Mining,631.0
2015,April,Vermont,Construction supersector,13882.0
2015,April,Vermont,Manufacturing supersector,30664.0
